code                                         ,year   ,host                          ,season   ,edition       ,motto                                                                                                                                                             ,num_athletes ,start_date                           ,end_date                             ,page_name
"2016_lillehammer_youth"                     ,"2016" ,"Lillehammer"                 ,"winter" ,"youth"       ,"Go beyond. Create tomorrow.(Norwegian: Spreng grenser. Skap morgendagen.)"                                                                                       ,"1100"       ,"2016-03-12"                         ,"2016-03-21"                         ,"2016_Winter_Youth_Olympics"
"2020_lausanne_youth"                        ,"2020" ,"Lausanne"                    ,"winter" ,"youth"       ,"Start Now"                                                                                                                                                       ,"1788"       ,"2020-02-09"                         ,"2020-02-22"                         ,"2020_Winter_Youth_Olympics"
"2024_gangwon_youth"                         ,"2024" ,"Gangwon"                     ,"winter" ,"youth"       ,"Grow Together, Shine Forever (Korean: 함께할 때 빛나는 우리, Hamkkehal Ttae Bichnaneun Uli)"                                                                     ,"1803"       ,"2024-02-19"                         ,"2024-03-01"                         ,"2024_Winter_Youth_Olympics"
"1960_rome_paralympics"                      ,"1960" ,"Rome"                        ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"400"        ,"1960-10-18"                         ,"1960-10-25"                         ,"1960_Summer_Paralympics"
"1964_tokyo_paralympics"                     ,"1964" ,"Tokyo"                       ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"375"        ,"1964-12-03"                         ,"1964-12-12"                         ,"1964_Summer_Paralympics"
"1968_tel-aviv_paralympics"                  ,"1968" ,"Tel Aviv"                    ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"750"        ,"1968-12-04"                         ,"1968-12-13"                         ,"1968_Summer_Paralympics"
"1972_heidelberg_paralympics"                ,"1972" ,"Heidelberg"                  ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"1004"       ,"1972-09-02"                         ,"1972-09-11"                         ,"1972_Summer_Paralympics"
"1976_toronto_paralympics"                   ,"1976" ,"Toronto"                     ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"1657"       ,"1976-09-03"                         ,"1976-09-11"                         ,"1976_Summer_Paralympics"
"1980_arnhem_paralympics"                    ,"1980" ,"Arnhem"                      ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"1973"       ,"1980-07-21"                         ,"1980-07-30"                         ,"1980_Summer_Paralympics"
"1984_new-york+stoke-mandeville_paralympics" ,"1984" ,"New York / Stoke Mandeville" ,"summer" ,"paralympics" ,""                                                                                                                                                                ,"1800"       ,"1984-06-17 (USA), 1984-07-22 (GBR)" ,"1984-06-30 (USA), 1984-08-01 (GBR)" ,"1984_Summer_Paralympics"
"1988_seoul_paralympics"                     ,"1988" ,"Seoul"                       ,"summer" ,"paralympics" ,"United for the Challenge(Korean: 도전을 위한 화합; RR: Dojeon-eul Wihan Hwahab)"                                                                                 ,"3057"       ,"1988-11-15"                         ,"1988-11-24"                         ,"1988_Summer_Paralympics"
"1992_barcelona+madrid_paralympics"          ,"1992" ,"Barcelona / Madrid"          ,"summer" ,"paralympics" ,"Sport Without Limits(Catalan: Esport Sense Límits)(Spanish: Deporte Sin Límites)"                                                                                ,"3020"       ,"1992-09-03 (BCN), 1992-09-15 (MAD)" ,"1992-09-14 (BCN), 1992-09-22 (MAD)" ,"1992_Summer_Paralympics"
"1996_atlanta_paralympics"                   ,"1996" ,"Atlanta"                     ,"summer" ,"paralympics" ,"The Triumph of the Human Spirit"                                                                                                                                 ,"3259"       ,"1996-09-16"                         ,"1996-09-25"                         ,"1996_Summer_Paralympics"
"2000_sydney_paralympics"                    ,"2000" ,"Sydney"                      ,"summer" ,"paralympics" ,"Performance, Power and Pride"                                                                                                                                    ,"3881"       ,"2000-11-18"                         ,"2000-11-29"                         ,"2000_Summer_Paralympics"
