"code" ,"name"                                ,"flag"                                                                                                                                 ,"status"
"COR"  ,"Korea"                               ,"https://upload.wikimedia.org/wikipedia/commons/2/21/Unification_flag_of_Korea_%28pre_2006%29.svg"                                     ,"special"
"ZZX"  ,"Mixed team"                          ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"XXB"  ,"Mixed team"                          ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"MIX"  ,"Mixed-NOCs"                          ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"NPA"  ,"Neutral Paralympic Athletes"         ,"https://upload.wikimedia.org/wikipedia/commons/7/7f/Paralympic_flag_%282019%29.svg"                                                   ,"special"
"OAR"  ,"Olympic Athletes from Russia"        ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"PNA"  ,"Paralympic Athletes"                 ,"https://upload.wikimedia.org/wikipedia/commons/7/7f/Paralympic_flag_%282019%29.svg"                                                   ,"special"
"ROC2" ,"Russian Olympic Committee"           ,"https://upload.wikimedia.org/wikipedia/commons/0/02/Russian_Olympic_Committee_flag.png"                                               ,"special"
"RPC"  ,"Russian Paralympic Committee"        ,"https://upload.wikimedia.org/wikipedia/commons/f/f6/Russian_Paralympic_Committee_special_emblem_%28Tokyo_2020%2C_Beijing_2022%29.jpg" ,"special"
"EOR"  ,"Refugee Olympic Team"                ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"ROT"  ,"Refugee Olympic Team"                ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"RPT"  ,"Refugee Paralympic Team"             ,"https://upload.wikimedia.org/wikipedia/commons/7/7f/Paralympic_flag_%282019%29.svg"                                                   ,"special"
"ANZ"  ,"Australasia"                         ,"https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_Australasian_team_for_Olympic_games.svg"                                  ,"historic"
"BOH"  ,"Bohemia"                             ,"https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_Bohemia.svg"                                                              ,"historic"
"BWI"  ,"British West Indies"                 ,"https://upload.wikimedia.org/wikipedia/commons/1/15/Flag_of_the_West_Indies_Federation_%281958%E2%80%931962%29.svg"                   ,"historic"
