game,sport,code,"event",gold,silver,bronze
tokyo-2020,cycling-track,CTR,"Men's Keirin",GBR,MAS,NED
tokyo-2020,cycling-track,CTR,"Men's Madison",DEN,GBR,FRA
tokyo-2020,cycling-track,CTR,"Men's Omnium",GBR,NZL,ITA
tokyo-2020,cycling-track,CTR,"Men's Sprint",NED,NED,GBR
tokyo-2020,cycling-track,CTR,"Men's Team Pursuit",ITA,DEN,AUS
tokyo-2020,cycling-track,CTR,"Men's Team Sprint",NED,GBR,FRA
tokyo-2020,cycling-track,CTR,"Women's Keirin",NED,NZL,CAN
tokyo-2020,cycling-track,CTR,"Women's Madison",GBR,DEN,ROC
tokyo-2020,cycling-track,CTR,"Women's Omnium",USA,JPN,NED
tokyo-2020,cycling-track,CTR,"Women's Sprint",CAN,UKR,HKG
tokyo-2020,cycling-track,CTR,"Women's Team Pursuit",GER,GBR,USA
tokyo-2020,cycling-track,CTR,"Women's Team Sprint",CHN,GER,ROC
tokyo-2020,diving,DIV,"Men's 10m Platform",CHN,CHN,GBR
tokyo-2020,diving,DIV,"Men's 3m Springboard",CHN,CHN,GBR
tokyo-2020,diving,DIV,"Men's Synchronised 10m Platform",GBR,CHN,ROC
tokyo-2020,diving,DIV,"Men's Synchronised 3m Springboard",CHN,USA,GER
tokyo-2020,diving,DIV,"Women's 10m Platform",CHN,CHN,AUS
tokyo-2020,diving,DIV,"Women's 3m Springboard",CHN,CHN,USA
tokyo-2020,diving,DIV,"Women's Synchronised 10m Platform",CHN,USA,MEX
tokyo-2020,diving,DIV,"Women's Synchronised 3m Springboard",CHN,CAN,GER
tokyo-2020,equestrian,EQU,"Dressage Individual",GER,GER,GBR
tokyo-2020,equestrian,EQU,"Dressage Team",GER,USA,GBR
tokyo-2020,equestrian,EQU,"Eventing Individual",GER,GBR,AUS
tokyo-2020,equestrian,EQU,"Eventing Team",GBR,AUS,FRA
tokyo-2020,equestrian,EQU,"Jumping Individual",GBR,SWE,NED
tokyo-2020,equestrian,EQU,"Jumping Team",SWE,USA,BEL
tokyo-2020,fencing,FEN,"Men's Foil Individual",HKG,ITA,CZE
tokyo-2020,fencing,FEN,"Men's Foil Team",FRA,ROC,USA
tokyo-2020,fencing,FEN,"Men's Sabre Individual",HUN,ITA,KOR
tokyo-2020,fencing,FEN,"Men's Sabre Team",KOR,ITA,HUN
tokyo-2020,fencing,FEN,"Men's Épée Individual",FRA,HUN,UKR
tokyo-2020,fencing,FEN,"Men's Épée Team",JPN,ROC,KOR
tokyo-2020,fencing,FEN,"Women's Foil Individual",USA,ROC,ROC
tokyo-2020,fencing,FEN,"Women's Foil Team",ROC,FRA,ITA
tokyo-2020,fencing,FEN,"Women's Sabre Individual",ROC,ROC,FRA
tokyo-2020,fencing,FEN,"Women's Sabre Team",ROC,FRA,KOR
tokyo-2020,fencing,FEN,"Women's Épée Individual",CHN,ROU,EST
tokyo-2020,fencing,FEN,"Women's Épée Team",EST,KOR,ITA
tokyo-2020,football,FBL,"Men",BRA,ESP,MEX
tokyo-2020,football,FBL,"Women",CAN,SWE,USA
tokyo-2020,golf,GLF,"Men's Individual Stroke Play",USA,SVK,TPE
tokyo-2020,golf,GLF,"Women's Individual Stroke Play",USA,JPN,NZL
tokyo-2020,handball,HBL,"Men",FRA,DEN,ESP
tokyo-2020,handball,HBL,"Women",FRA,ROC,NOR
tokyo-2020,hockey,HOC,"Men",BEL,AUS,IND
tokyo-2020,hockey,HOC,"Women",NED,ARG,GBR
tokyo-2020,judo,JUD,"Men +100 kg",CZE,GEO,FRA+ROC
tokyo-2020,judo,JUD,"Men -100 kg",JPN,KOR,POR+ROC
tokyo-2020,judo,JUD,"Men -60 kg",JPN,TPE,KAZ+FRA
tokyo-2020,judo,JUD,"Men -66 kg",JPN,GEO,KOR+BRA
tokyo-2020,judo,JUD,"Men -73 kg",JPN,GEO,KOR+MGL
tokyo-2020,judo,JUD,"Men -81 kg",JPN,MGL,AUT+BEL
tokyo-2020,judo,JUD,"Men -90 kg",GEO,GER,UZB+HUN
tokyo-2020,judo,JUD,"Mixed Team",FRA,JPN,GER+ISR
tokyo-2020,judo,JUD,"Women +78 kg",JPN,CUB,AZE+FRA
tokyo-2020,judo,JUD,"Women -48 kg",KOS,JPN,UKR+MGL
tokyo-2020,judo,JUD,"Women -52 kg",JPN,FRA,ITA+GBR
tokyo-2020,judo,JUD,"Women -57 kg",KOS,FRA,JPN+CAN
tokyo-2020,judo,JUD,"Women -63 kg",FRA,SLO,ITA+CAN
tokyo-2020,judo,JUD,"Women -70 kg",JPN,AUT,ROC+NED
tokyo-2020,judo,JUD,"Women -78 kg",JPN,FRA,GER+BRA
tokyo-2020,karate,KTE,"Men's Kata",JPN,ESP,TUR+USA
tokyo-2020,karate,KTE,"Men's Kumite +75kg",IRI,KSA,TUR+JPN
tokyo-2020,karate,KTE,"Men's Kumite -67kg",FRA,TUR,KAZ+JOR
tokyo-2020,karate,KTE,"Men's Kumite -75kg",ITA,AZE,UKR+HUN
tokyo-2020,karate,KTE,"Women's Kata",ESP,JPN,HKG+ITA
tokyo-2020,karate,KTE,"Women's Kumite +61kg",EGY,AZE,KAZ+CHN
tokyo-2020,karate,KTE,"Women's Kumite -55kg",BUL,UKR,AUT+TPE
tokyo-2020,karate,KTE,"Women's Kumite -61kg",SRB,CHN,TUR+EGY
tokyo-2020,marathon-swimming,OWS,"Men's 10km",GER,HUN,ITA
tokyo-2020,marathon-swimming,OWS,"Women's 10km",BRA,NED,AUS
tokyo-2020,modern-pentathlon,MPN,"Men's Individual",GBR,EGY,KOR
tokyo-2020,modern-pentathlon,MPN,"Women's Individual",GBR,LTU,HUN
tokyo-2020,rhythmic-gymnastics,GRY,"Group All-Around",BUL,ROC,ITA
tokyo-2020,rhythmic-gymnastics,GRY,"Individual All-Around",ISR,ROC,BLR
tokyo-2020,rowing,ROW,"Lightweight Men's Double Sculls",IRL,GER,ITA
tokyo-2020,rowing,ROW,"Lightweight Women's Double Sculls",ITA,FRA,NED
tokyo-2020,rowing,ROW,"Men's Double Sculls",FRA,NED,CHN
tokyo-2020,rowing,ROW,"Men's Eight",NZL,GER,GBR
tokyo-2020,rowing,ROW,"Men's Four",AUS,ROU,ITA
tokyo-2020,rowing,ROW,"Men's Pair",CRO,ROU,DEN
tokyo-2020,rowing,ROW,"Men's Quadruple Sculls",NED,GBR,AUS
tokyo-2020,rowing,ROW,"Men's Single Sculls",GRE,NOR,CRO
tokyo-2020,rowing,ROW,"Women's Double Sculls",ROU,NZL,NED
tokyo-2020,rowing,ROW,"Women's Eight",CAN,NZL,CHN
tokyo-2020,rowing,ROW,"Women's Four",AUS,NED,IRL
tokyo-2020,rowing,ROW,"Women's Pair",NZL,ROC,CAN
tokyo-2020,rowing,ROW,"Women's Quadruple Sculls",CHN,POL,AUS
tokyo-2020,rowing,ROW,"Women's Single Sculls",NZL,ROC,AUT
tokyo-2020,rugby-sevens,RU7,"Men",FIJ,NZL,ARG
tokyo-2020,rugby-sevens,RU7,"Women",NZL,FRA,FIJ
tokyo-2020,sailing,SAL,"470 Men",AUS,SWE,ESP
tokyo-2020,sailing,SAL,"470 Women",GBR,POL,FRA
tokyo-2020,sailing,SAL,"49er FX Women",BRA,GER,NED
tokyo-2020,sailing,SAL,"49er Men",GBR,NZL,GER
tokyo-2020,sailing,SAL,"Finn Men",GBR,HUN,ESP
tokyo-2020,sailing,SAL,"Laser Men",AUS,CRO,NOR
tokyo-2020,sailing,SAL,"Laser Radial Women",DEN,SWE,NED
tokyo-2020,sailing,SAL,"Nacra 17 Mixed",ITA,GBR,GER
tokyo-2020,sailing,SAL,"RS:X Men",NED,FRA,CHN
tokyo-2020,sailing,SAL,"RS:X Women",CHN,FRA,GBR
tokyo-2020,shooting,SHO,"10m Air Pistol Men",IRI,SRB,CHN
tokyo-2020,shooting,SHO,"10m Air Pistol Mixed Team",CHN,ROC,UKR
tokyo-2020,shooting,SHO,"10m Air Pistol women",ROC,BUL,CHN
tokyo-2020,shooting,SHO,"10m Air Rifle Men",USA,CHN,CHN
tokyo-2020,shooting,SHO,"10m Air Rifle Mixed Team",CHN,USA,ROC
tokyo-2020,shooting,SHO,"10m Air Rifle women",CHN,ROC,SUI
tokyo-2020,shooting,SHO,"25m Pistol Women",ROC,KOR,CHN
tokyo-2020,shooting,SHO,"25m Rapid Fire Pistol Men",FRA,CUB,CHN
tokyo-2020,shooting,SHO,"50m Rifle 3 Positions Men",CHN,ROC,SRB
tokyo-2020,shooting,SHO,"50m Rifle 3 Positions women",SUI,ROC,ROC
tokyo-2020,shooting,SHO,"Skeet Men",USA,DEN,KUW
tokyo-2020,shooting,SHO,"Skeet women",USA,ITA,CHN
tokyo-2020,shooting,SHO,"Trap Men",CZE,CZE,GBR
tokyo-2020,shooting,SHO,"Trap Mixed Team",ESP,SMR,USA
tokyo-2020,shooting,SHO,"Trap women",SVK,USA,SMR
tokyo-2020,skateboarding,SKB,"Men's Park",AUS,BRA,USA
tokyo-2020,skateboarding,SKB,"Men's Street",JPN,BRA,USA
tokyo-2020,skateboarding,SKB,"Women's Park",JPN,JPN,GBR
tokyo-2020,skateboarding,SKB,"Women's Street",JPN,BRA,JPN
